"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocecnut  ","P",01/13/2023 14:50,0,1,1         ,1         ,"",0.0196,<0>  ,0.0436,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0636,<0>  ,"",<-2> (CSM) ,
"nocecnut  ","P",01/13/2023 14:51,0,1,1         ,2         ,"",0.0186,<0>  ,0.0355,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0621,<0>  ,"",<-2> (CSM) ,
"nocecnut  ","P",01/13/2023 14:52,0,1,1         ,3         ,"",0.0186,<0>  ,0.0446,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0642,<0>  ,"",<-2> (CSM) ,
"nocecnut  ","P",02/24/2023 13:58,0,1,1         ,1         ,"",0.0215,<1> (CHB) ,0.0655,<1> (CHB) ,0.0052,<1> (CHB) ,0.1678,<0>  ,0.1730,<1> (CHB) ,12.4000,<0>  ,
"nocecnut  ","P",03/24/2023 12:15,0,1,1         ,1         ,"",0.0160,<0>  ,0.0267,<0>  ,0.0025,<0>  ,0.0353,<0>  ,0.0378,<0>  ,4.6000,<0>  ,
"nocecnut  ","P",04/26/2023 14:15,0,1,1         ,1         ,"",0.0288,<0>  ,0.0486,<1> (CHB) ,0.0043,<1> (CHB) ,0.1912,<1> (CHB) ,0.1955,<1> (CHB) ,"",<-2> (CSM) ,
"nocecnut  ","P",06/07/2023 13:45,0,1,1         ,1         ,"",0.0175,<0>  ,0.0122,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,"",<-2> (CSM) ,
"nocecnut  ","P",07/24/2023 16:37,0,1,1         ,1         ,"",0.0336,<0>  ,0.0379,<0>  ,0.0042,<0>  ,0.0442,<0>  ,0.0484,<0>  ,"",<-2> (CSM) ,
"nocecnut  ","P",08/21/2023 12:19,0,1,1         ,1         ,"",0.0226,<0>  ,0.0237,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,"",<-2> (CSM) ,
"nocecnut  ","P",08/21/2023 12:20,0,1,1         ,2         ,"",0.0223,<0>  ,0.0244,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,"",<-2> (CSM) ,
"nocecnut  ","P",08/21/2023 12:21,0,1,1         ,3         ,"",0.0229,<0>  ,0.0277,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,"",<-2> (CSM) ,
"nocecnut  ","P",09/18/2023 13:00,0,1,1         ,1         ,"",0.0352,<0>  ,0.0392,<0>  ,0.0389,<0>  ,0.0613,<0>  ,0.1002,<0>  ,19.5000,<0>  ,
"nocecnut  ","P",10/17/2023 11:07,0,1,1         ,1         ,"",0.0340,<0>  ,0.0683,<0>  ,0.0128,<0>  ,0.0593,<0>  ,0.0721,<0>  ,7.5000,<0>  ,
"nocecnut  ","P",11/20/2023 16:09,0,1,1         ,1         ,"",0.0210,<0>  ,0.0582,<0>  ,0.0026,<0>  ,0.0525,<0>  ,0.0551,<0>  ,7.5000,<0>  ,
"nocecnut  ","P",11/20/2023 16:10,0,1,1         ,2         ,"",0.0205,<0>  ,0.0637,<0>  ,0.0022,<0>  ,0.0516,<0>  ,0.0538,<0>  ,5.6000,<0>  ,
"nocecnut  ","P",11/20/2023 16:11,0,1,1         ,3         ,"",0.0204,<0>  ,0.0583,<0>  ,0.0019,<0>  ,0.0519,<0>  ,0.0538,<0>  ,7.3000,<0>  ,
"nocecnut  ","P",12/18/2023 14:24,0,1,1         ,1         ,"",0.0255,<0>  ,0.0808,<0>  ,0.0043,<0>  ,0.0807,<0>  ,0.0850,<0>  ,6.0000,<0>  ,
