"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noclcnut  ","P",01/03/2024 14:40,0,1,1         ,1         ,"",0.0054,<0>  ,0.0547,<0>  ,0.0020,<-4> [SBL] ,0.0230,<-3> [SCB] ,0.0240,<0>  ,1.5000,<0>  ,
"noclcnut  ","P",02/15/2024 12:30,0,1,1         ,1         ,"",0.0029,<1> (CHB) ,0.1142,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0021,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,0.9000,<0>  ,
"noclcnut  ","P",03/25/2024 9:07,0,1,1         ,1         ,"",0.0029,<0>  ,0.0520,<0>  ,0.0020,<-4> [SBL] ,0.0022,<-3> [SCB] ,0.0055,<-4> [SBL] ,1.6000,<0>  ,
"noclcnut  ","P",03/25/2024 9:08,0,1,1         ,2         ,"",0.0029,<-4> [SBL] ,0.0414,<0>  ,0.0020,<-4> [SBL] ,0.0018,<-3> [SCB] ,0.0055,<-4> [SBL] ,3.9000,<0>  ,
"noclcnut  ","P",03/25/2024 9:09,0,1,1         ,3         ,"",0.0029,<-4> [SBL] ,0.0410,<0>  ,0.0020,<-4> [SBL] ,0.0016,<-3> [SCB] ,0.0055,<-4> [SBL] ,4.3000,<0>  ,
"noclcnut  ","P",04/24/2024 12:15,0,1,1         ,1         ,"",0.0044,<1> (CHB) ,0.0649,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,-0.0004,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,2.6000,<0>  ,
"noclcnut  ","P",05/28/2024 12:00,0,1,1         ,1         ,"",0.0131,<0>  ,0.0352,<0>  ,0.0020,<-4> [SBL] ,0.0007,<-3> [SCB] ,0.0055,<-4> [SBL] ,4.5000,<0>  ,
"noclcnut  ","P",06/25/2024 11:15,0,1,1         ,1         ,"",0.0071,<0>  ,0.1205,<0>  ,0.0020,<-4> [SBL] ,-0.0006,<-3> [SCB] ,0.0055,<-4> [SBL] ,4.5000,<0>  ,
"noclcnut  ","P",07/23/2024 11:31,0,1,1         ,1         ,"",0.0066,<1> (CHB) ,0.0816,<1> (CHB) ,0.0022,<1> (CHB) ,0.0048,<1> (CHB) ,0.0070,<1> (CHB) ,7.9000,<1> (CHB) ,
"noclcnut  ","P",07/23/2024 11:32,0,1,1         ,2         ,"",0.0071,<1> (CHB) ,0.0577,<1> (CHB) ,0.0021,<1> (CHB) ,0.0052,<1> (CHB) ,0.0073,<1> (CHB) ,7.9000,<1> (CHB) ,
"noclcnut  ","P",07/23/2024 11:33,0,1,1         ,3         ,"",0.0069,<1> (CHB) ,0.0632,<1> (CHB) ,0.0020,<1> (CHB) ,0.0054,<1> (CHB) ,0.0074,<1> (CHB) ,8.5000,<1> (CHB) ,
"noclcnut  ","P",08/21/2024 11:00,0,1,1         ,1         ,"",0.0068,<1> (CHB) ,0.0991,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0096,<-3> [SCB](CHB) ,0.0103,<1> (CHB) ,4.2000,<0>  ,
"noclcnut  ","P",10/22/2024 14:10,0,1,1         ,1         ,"",0.0037,<0>  ,0.1386,<0>  ,0.0020,<-4> [SBL] ,0.0015,<-3> [SCB] ,0.0055,<-4> [SBL] ,1.8000,<0>  ,
"noclcnut  ","P",11/19/2024 12:30,0,1,1         ,1         ,"",0.0058,<1> (CHB) ,0.0742,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0028,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,2.0000,<0>  ,
"noclcnut  ","P",11/19/2024 12:31,0,1,1         ,2         ,"",0.0060,<1> (CHB) ,0.0593,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0045,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,2.0000,<0>  ,
"noclcnut  ","P",11/19/2024 12:32,0,1,1         ,3         ,"",0.0058,<1> (CHB) ,0.0454,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0030,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,2.0000,<0>  ,
"noclcnut  ","P",12/18/2024 12:02,0,1,1         ,1         ,"",0.0052,<1> (CHB) ,0.0863,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0023,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,5.9000,<0>  ,
