"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/19/2021 0:00,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0226,<0>  ,5.3600,<0>  ,
"nocrcnut  ","P",01/19/2021 0:00,0,1,2         ,1         ,"",0.0034,<0>  ,0.0099,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1686,<0>  ,3.4900,<0>  ,
"nocrcnut  ","P",01/20/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0121,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1996,<0>  ,4.5900,<0>  ,
"nocrcnut  ","P",02/16/2021 0:00,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0065,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0367,<0>  ,2.8300,<0>  ,
"nocrcnut  ","P",02/16/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0267,<0>  ,4.3800,<0>  ,
"nocrcnut  ","P",03/23/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0226,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.5100,<0>  ,
"nocrcnut  ","P",03/24/2021 0:00,0,1,1         ,1         ,"",0.0016,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.9000,<0>  ,
"nocrcnut  ","P",03/24/2021 0:00,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.1500,<0>  ,
"nocrcnut  ","P",03/24/2021 0:00,0,1,1         ,3         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.2900,<0>  ,
"nocrcnut  ","P",03/24/2021 0:00,0,1,2         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"nocrcnut  ","P",04/19/2021 0:00,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.4300,<0>  ,
"nocrcnut  ","P",04/19/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0083,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0073,<0>  ,10.9700,<0>  ,
"nocrcnut  ","P",04/20/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,12.5100,<0>  ,
"nocrcnut  ","P",05/19/2021 0:00,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0088,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.4500,<0>  ,
"nocrcnut  ","P",05/26/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0063,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,10.5000,<0>  ,
"nocrcnut  ","P",05/27/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0166,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,15.9300,<0>  ,
"nocrcnut  ","P",06/23/2021 0:00,0,1,1         ,1         ,"",0.0034,<1> (CHB) ,0.0192,<1> (CHB) ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0125,<1> (CHB) ,10.6200,<0>  ,
"nocrcnut  ","P",06/23/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL](CHB) ,0.0188,<1> (CHB) ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0055,<-4> [SBL](CHB) ,2.7600,<0>  ,
"nocrcnut  ","P",06/24/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL](CHB) ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0055,<-4> [SBL](CHB) ,"",<0>  ,
"nocrcnut  ","P",07/26/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,9.4200,<0>  ,
"nocrcnut  ","P",07/27/2021 0:00,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,9.9600,<0>  ,
"nocrcnut  ","P",07/27/2021 0:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,10.0900,<0>  ,
"nocrcnut  ","P",08/24/2021 0:00,0,1,1         ,1         ,"",0.0058,<0>  ,0.0588,<0>  ,0.0063,<0>  ,0.0062,<0>  ,0.0125,<0>  ,8.6900,<0>  ,
"nocrcnut  ","P",09/23/2021 0:00,0,1,1         ,1         ,"",0.0092,<0>  ,0.1158,<0>  ,0.0132,<0>  ,0.0303,<0>  ,0.0435,<0>  ,10.5500,<0>  ,
"nocrcnut  ","P",09/23/2021 0:00,0,1,2         ,1         ,"",0.0051,<0>  ,0.1027,<0>  ,0.0100,<0>  ,0.0138,<0>  ,0.0238,<0>  ,15.6800,<0>  ,
"nocrcnut  ","P",09/24/2021 0:00,0,1,2         ,1         ,"",0.0032,<0>  ,0.0822,<0>  ,0.0054,<0>  ,0.0043,<0>  ,0.0097,<0>  ,14.3200,<0>  ,
"nocrcnut  ","P",10/25/2021 0:00,0,1,1         ,1         ,"",0.0069,<0>  ,0.0477,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,6.0400,<0>  ,
"nocrcnut  ","P",10/25/2021 0:00,0,1,2         ,1         ,"",0.0029,<0>  ,0.0362,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,8.4100,<0>  ,
"nocrcnut  ","P",10/26/2021 0:00,0,1,2         ,1         ,"",0.0097,<0>  ,0.0505,<0>  ,0.0019,<0>  ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,7.8000,<0>  ,
"nocrcnut  ","P",11/22/2021 0:00,0,1,1         ,1         ,"",0.0033,<0>  ,0.0346,<1> (CHB) ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0055,<-4> [SBL](CHB) ,2.6800,<0>  ,
"nocrcnut  ","P",11/22/2021 0:00,0,1,2         ,1         ,"",0.0025,<1> (CHB) ,0.0189,<1> (CHB) ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0055,<-4> [SBL](CHB) ,5.9100,<0>  ,
"nocrcnut  ","P",11/23/2021 0:00,0,1,2         ,1         ,"",0.0052,<1> (CHB) ,0.0181,<1> (CHB) ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0055,<-4> [SBL](CHB) ,4.2600,<0>  ,
"nocrcnut  ","P",12/06/2021 0:00,0,1,1         ,1         ,"",0.0038,<1> (CHB) ,0.0179,<1> (CHB) ,0.0016,<-4> [SBL](CHB) ,"",<-4> [SCB] ,0.0055,<-4> [SBL](CHB) ,5.3200,<0>  ,
