"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"nocrcwq  ","P",01/01/2002 0:00,1,1,"",10.1,<4> ,40.32,<4> ,25.7,<4> ,94.9,<4> ,9.1,<4> ,0.9,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,744,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 0:30,1,1,"",9.9,<4> ,40.74,<4> ,25.9,<4> ,93.6,<4> ,9.0,<4> ,0.73,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,4,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 1:00,1,1,"",9.7,<4> ,40.73,<4> ,25.9,<4> ,91.4,<4> ,8.8,<4> ,0.57,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,11,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 1:30,1,1,"",9.5,<4> ,40.77,<4> ,25.9,<4> ,89.6,<4> ,8.7,<4> ,0.41,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 2:00,1,1,"",9.3,<4> ,40.8,<4> ,26.0,<4> ,88.3,<4> ,8.6,<4> ,0.3,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,1,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 2:30,1,1,"",9.2,<4> ,40.83,<4> ,26.0,<4> ,87.8,<4> ,8.6,<4> ,0.22,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 3:00,1,1,"",9.1,<4> ,40.86,<4> ,26.0,<4> ,88.0,<4> ,8.6,<4> ,0.2,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,3,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 3:30,1,1,"",9.1,<4> ,40.85,<4> ,26.0,<4> ,87.1,<4> ,8.5,<4> ,0.35,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 4:00,1,1,"",9.2,<4> ,40.81,<4> ,26.0,<4> ,88.8,<4> ,8.7,<4> ,0.5,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,1,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 4:30,1,1,"",9.2,<4> ,40.21,<4> ,25.5,<4> ,91.4,<4> ,8.9,<4> ,0.64,<4> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 5:00,1,1,"",9.5,<4> ,40.23,<4> ,25.6,<4> ,91.9,<4> ,8.9,<4> ,0.79,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 5:30,1,1,"",10.0,<4> ,40.27,<4> ,25.6,<4> ,97.1,<4> ,9.3,<4> ,0.92,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 6:00,1,1,"",10.1,<4> ,40.6,<4> ,25.9,<4> ,95.5,<4> ,9.1,<4> ,1.08,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 6:30,1,1,"",10.4,<4> ,40.34,<4> ,25.7,<4> ,96.5,<4> ,9.2,<4> ,1.24,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 7:00,1,1,"",11.0,<4> ,40.5,<4> ,25.8,<4> ,97.1,<4> ,9.1,<4> ,1.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,1,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 7:30,1,1,"",11.8,<4> ,40.41,<4> ,25.8,<4> ,98.6,<4> ,9.1,<4> ,1.53,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,1,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 8:00,1,1,"",12.2,<4> ,39.89,<4> ,25.4,<4> ,99.6,<4> ,9.1,<4> ,1.7,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 8:30,1,1,"",12.4,<4> ,39.52,<4> ,25.2,<4> ,100.0,<4> ,9.1,<4> ,1.86,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,3,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 9:00,1,1,"",12.3,<4> ,39.44,<4> ,25.1,<4> ,101.5,<4> ,9.3,<4> ,1.98,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,0,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 9:30,1,1,"",12.3,<4> ,39.5,<4> ,25.2,<4> ,102.0,<4> ,9.3,<4> ,2.04,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,1,<4> ,"",<-1> ,
"nocrcwq  ","P",01/01/2002 10:00,1,1,"",12.4,<4> ,39.51,<4> ,25.2,<4> ,103.3,<4> ,9.4,<4> ,2.02,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,0,<4> ,"",<-1> ,
