"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noczbnut  ","P",01/03/2024 16:28,0,1,1         ,1         ,"",0.0480,<0>  ,0.0956,<0>  ,0.0050,<0>  ,0.2641,<0>  ,0.2691,<0>  ,1.8000,<0>  ,
"noczbnut  ","P",02/15/2024 13:45,0,1,1         ,1         ,"",0.0187,<1> (CHB) ,0.0830,<1> (CHB) ,0.0037,<-4> [SBL](CHB) ,0.1190,<-3> [SCB](CHB) ,0.1227,<1> (CHB) ,5.9000,<0>  ,
"noczbnut  ","P",02/15/2024 13:46,0,1,1         ,2         ,"",0.0197,<1> (CHB) ,0.0706,<1> (CHB) ,0.0040,<-4> [SBL](CHB) ,0.1282,<-3> [SCB](CHB) ,0.1322,<1> (CHB) ,6.3000,<0>  ,
"noczbnut  ","P",02/15/2024 13:47,0,1,1         ,3         ,"",0.0199,<1> (CHB) ,0.0708,<1> (CHB) ,0.0040,<-4> [SBL](CHB) ,0.1299,<-3> [SCB](CHB) ,0.1339,<1> (CHB) ,6.1000,<0>  ,
"noczbnut  ","P",03/25/2024 11:15,0,1,1         ,1         ,"",0.0172,<0>  ,0.0486,<0>  ,0.0043,<0>  ,0.1229,<0>  ,0.1272,<0>  ,12.0000,<0>  ,
"noczbnut  ","P",04/24/2024 14:30,0,1,1         ,1         ,"",0.0098,<1> (CHB) ,0.0253,<1> (CHB) ,0.0041,<1> (CHB) ,0.0657,<1> (CHB) ,0.0698,<1> (CHB) ,40.5000,<0>  ,
"noczbnut  ","P",05/28/2024 13:36,0,1,1         ,2         ,"",0.0210,<0>  ,0.0202,<0>  ,0.0020,<-4> [SBL] ,0.0012,<-3> [SCB] ,0.0055,<-4> [SBL] ,45.6000,<0>  ,
"noczbnut  ","P",05/28/2024 13:45,0,1,1         ,1         ,"",0.0214,<0>  ,0.0135,<0>  ,0.0020,<-4> [SBL] ,0.0008,<-3> [SCB] ,0.0055,<-4> [SBL] ,44.8000,<0>  ,
"noczbnut  ","P",05/28/2024 14:07,0,1,1         ,3         ,"",0.0211,<0>  ,0.0154,<0>  ,0.0020,<-4> [SBL] ,0.0004,<-3> [SCB] ,0.0055,<-4> [SBL] ,41.8000,<0>  ,
"noczbnut  ","P",06/25/2024 12:45,0,1,1         ,1         ,"",0.0238,<0>  ,0.0441,<0>  ,0.0020,<-4> [SBL] ,-0.0004,<-3> [SCB] ,0.0055,<-4> [SBL] ,35.6000,<0>  ,
"noczbnut  ","P",07/23/2024 13:26,0,1,1         ,1         ,"",0.0269,<1> (CHB) ,0.0362,<1> (CHB) ,0.0020,<-4> [SBL](CHB) ,0.0017,<-3> [SCB](CHB) ,0.0055,<-4> [SBL](CHB) ,66.9000,<1> (CHB) ,
"noczbnut  ","P",08/21/2024 12:57,0,1,1         ,1         ,"",0.0676,<1> (CHB) ,0.1171,<1> (CHB) ,0.0077,<1> (CHB) ,0.0741,<1> (CHB) ,0.0818,<1> (CHB) ,11.2000,<0>  ,
"noczbnut  ","P",10/22/2024 0:00,0,1,1         ,1         ,"",0.0201,<0>  ,0.0631,<0>  ,0.0048,<0>  ,0.0348,<0>  ,0.0396,<0>  ,1.8000,<0>  ,
"noczbnut  ","P",11/19/2024 13:37,0,1,1         ,1         ,"",0.0330,<1> (CHB) ,0.0707,<1> (CHB) ,0.0039,<1> (CHB) ,0.0569,<1> (CHB) ,0.0608,<1> (CHB) ,7.7000,<0>  ,
"noczbnut  ","P",12/18/2024 13:35,0,1,1         ,1         ,"",0.0453,<1> (CHB) ,0.1104,<1> (CHB) ,0.0047,<1> (CHB) ,0.0819,<1> (CHB) ,0.0866,<1> (CHB) ,30.2000,<0>  ,
