"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"noczbwq  ","P",02/01/2003 0:00,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 0:30,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 1:00,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 1:30,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 2:00,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 2:30,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 3:00,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 3:30,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 4:00,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
"noczbwq  ","P",02/01/2003 4:30,1,1,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> [GCU],"",<-1> ,"","","",<4> ,"",<4> ,"",<-1> ,
