"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocecnut  ","P",01/09/2019 15:07,1,1,1         ,1         ,"",0.0292,<0>  ,0.0585,<0>  ,0.0049,<0>  ,0.3340,<0>  ,0.3389,<0>  ,6.7700,<0>  ,
"nocecnut  ","P",02/13/2019 14:44,1,1,1         ,1         ,"",0.0061,<0>  ,0.0119,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.2164,<0>  ,11.1800,<0>  ,
"nocecnut  ","P",03/11/2019 12:20,1,1,1         ,1         ,"",0.0187,<0>  ,0.0304,<0>  ,0.0040,<0>  ,0.3014,<0>  ,0.3054,<0>  ,4.5100,<0>  ,
"nocecnut  ","P",04/09/2019 13:13,1,1,1         ,1         ,"",0.0036,<0>  ,0.0086,<0>  ,0.0021,<0>  ,0.0882,<0>  ,0.0903,<0>  ,19.9700,<0>  ,
"nocecnut  ","P",05/07/2019 14:00,1,1,1         ,1         ,"",0.0201,<0>  ,0.0276,<0>  ,0.0061,<0>  ,0.1253,<0>  ,0.1314,<0>  ,17.3500,<0>  ,
"nocecnut  ","P",06/05/2019 13:05,1,1,1         ,1         ,"",0.0291,<0>  ,0.0085,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,23.6700,<0>  ,
"nocecnut  ","P",07/02/2019 11:30,1,1,1         ,1         ,"",0.0297,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,10.3000,<0>  ,
"nocecnut  ","P",08/20/2019 14:40,1,1,1         ,1         ,"",0.0076,<1> (CHB) ,0.0074,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0055,<-4> [SBL] (CHB) ,30.0600,<0>  ,
"nocecnut  ","P",09/17/2019 11:30,1,1,1         ,1         ,"",0.0226,<0>  ,0.0177,<0>  ,0.0392,<0>  ,0.1511,<0>  ,0.1903,<0>  ,9.8200,<0>  ,
"nocecnut  ","P",10/22/2019 15:17,1,1,1         ,1         ,"",0.0107,<0>  ,0.0062,<-4> [SBL] ,0.0274,<0>  ,0.0349,<0>  ,0.0623,<0>  ,14.7000,<0>  ,
"nocecnut  ","P",10/22/2019 15:18,1,1,1         ,2         ,"",0.0104,<0>  ,0.0062,<-4> [SBL] ,0.0283,<0>  ,0.0380,<0>  ,0.0663,<0>  ,14.6200,<0>  ,
"nocecnut  ","P",10/22/2019 15:19,1,1,1         ,3         ,"",0.0108,<0>  ,0.0084,<0>  ,0.0286,<0>  ,0.0387,<0>  ,0.0673,<0>  ,13.5400,<0>  ,
"nocecnut  ","P",11/14/2019 11:26,1,1,1         ,1         ,"",0.0158,<0>  ,0.0455,<0>  ,0.0088,<0>  ,0.1352,<0>  ,0.1440,<0>  ,6.2700,<0>  ,
"nocecnut  ","P",12/12/2019 11:41,1,1,1         ,1         ,"",0.0192,<0>  ,0.0233,<0>  ,0.0025,<0>  ,0.2043,<0>  ,0.2068,<0>  ,3.7100,<0>  ,
