"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noclcnut  ","P",01/04/2007 14:37,1,1,1         ,1         ,"",0.0060,<0>  ,0.0879,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,1.6300,<0>  ,
"noclcnut  ","P",01/04/2007 14:38,1,1,1         ,2         ,"",0.0044,<0>  ,0.1180,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,1.3400,<0>  ,
"noclcnut  ","P",02/05/2007 15:42,1,1,1         ,1         ,"",0.0166,<0>  ,0.1400,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0400,<0>  ,1.5200,<0>  ,
"noclcnut  ","P",02/05/2007 15:43,1,1,1         ,2         ,"",0.0173,<0>  ,0.1433,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0362,<0>  ,1.8700,<0>  ,
"noclcnut  ","P",03/06/2007 14:08,1,1,1         ,1         ,"",0.0072,<0>  ,0.1385,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,3.1200,<0>  ,
"noclcnut  ","P",04/02/2007 13:13,1,1,1         ,1         ,"",0.0085,<0> (CSM) ,0.0724,<0> (CSM) ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,"",<-2> [GDM] ,
"noclcnut  ","P",05/15/2007 9:44,1,1,1         ,1         ,"",0.0070,<0>  ,0.1005,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,2.7100,<0>  ,
"noclcnut  ","P",06/15/2007 11:35,1,1,1         ,1         ,"",0.0166,<0>  ,0.1464,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,2.2200,<0>  ,
"noclcnut  ","P",07/13/2007 10:17,1,1,1         ,1         ,"",0.0107,<0>  ,0.1033,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0085,<0>  ,4.8400,<0>  ,
"noclcnut  ","P",07/13/2007 10:18,1,1,1         ,2         ,"",0.0118,<0>  ,0.1076,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,4.5400,<0>  ,
"noclcnut  ","P",07/13/2007 10:19,1,1,1         ,3         ,"",0.0123,<0>  ,0.1034,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,5.0400,<0>  ,
"noclcnut  ","P",08/13/2007 14:18,1,1,1         ,1         ,"",0.0128,<0>  ,0.0814,<0>  ,0.0008,<0>  ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,4.8500,<0>  ,
"noclcnut  ","P",09/11/2007 13:20,1,1,1         ,1         ,"",0.0120,<0>  ,0.0567,<0>  ,0.0013,<0>  ,0.0000,<0>  ,0.0013,<0>  ,7.0300,<0>  ,
"noclcnut  ","P",10/09/2007 10:35,1,1,1         ,1         ,"",0.0120,<0>  ,0.0721,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,2.7100,<0>  ,
"noclcnut  ","P",11/12/2007 14:45,1,1,1         ,1         ,"",0.0056,<0>  ,0.0643,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,5.6700,<0>  ,
"noclcnut  ","P",12/12/2007 12:38,1,1,1         ,1         ,"",0.0121,<0>  ,0.0609,<0>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5900,<0>  ,
