"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"noclcwq  ","P",01/01/2003 0:00,1,1,"",12.1,<4> ,43.96,<4> ,28.3,<4> ,91.2,<4> ,8.2,<4> ,0.47,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,126,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 0:30,1,1,"",12.1,<4> ,43.7,<4> ,28.1,<4> ,96.3,<4> ,8.7,<4> ,0.53,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,19,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 1:00,1,1,"",11.8,<4> ,42.97,<4> ,27.6,<4> ,96.5,<4> ,8.8,<4> ,0.69,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,10,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 1:30,1,1,"",11.9,<4> ,43.29,<4> ,27.8,<4> ,96.9,<4> ,8.8,<4> ,0.81,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,41,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 2:00,1,1,"",11.9,<4> ,43.52,<4> ,28.0,<4> ,96.9,<4> ,8.8,<4> ,0.95,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,6,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 2:30,1,1,"",11.9,<4> ,43.8,<4> ,28.2,<4> ,97.7,<4> ,8.8,<4> ,1.11,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,20,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 3:00,1,1,"",11.6,<4> ,46.58,<4> ,30.2,<4> ,100.0,<4> ,9.0,<4> ,1.29,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,30,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 3:30,1,1,"",11.5,<4> ,46.99,<4> ,30.5,<4> ,100.9,<4> ,9.1,<4> ,1.47,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.3,<4> ,18,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 4:00,1,1,"",11.6,<4> ,48.68,<4> ,31.7,<4> ,103.0,<4> ,9.2,<4> ,1.67,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,10,<4> ,"",<-1> ,
"noclcwq  ","P",01/01/2003 4:30,1,1,"",11.7,<4> ,48.66,<4> ,31.7,<4> ,102.7,<4> ,9.1,<4> ,1.86,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.4,<4> ,10,<4> ,"",<-1> ,
