"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/12/2006 12:11,1,1,1         ,1         ,"",0.0044,<4>  ,0.1412,<4>  ,0.0004,<4>  ,0.0292,<4>  ,0.0296,<4>  ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",01/12/2006 12:12,1,1,1         ,2         ,"",0.0039,<4>  ,0.1371,<4>  ,0.0018,<4>  ,0.0243,<4>  ,0.0261,<4>  ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",01/12/2006 12:30,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1626,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0169,<4>  ,2.5000,<4>  ,
"nocrcnut  ","P",01/12/2006 14:41,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1477,<4>  ,0.0017,<4>  ,0.0405,<4>  ,0.0422,<4>  ,2.5800,<4>  ,
"nocrcnut  ","P",01/12/2006 16:52,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1524,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0435,<4>  ,1.2500,<4>  ,
"nocrcnut  ","P",01/12/2006 19:03,1,1,2         ,1         ,"",0.0030,<4>  ,0.1650,<4>  ,0.0002,<4>  ,0.0140,<4>  ,0.0142,<4>  ,1.3300,<4>  ,
"nocrcnut  ","P",01/12/2006 21:14,1,1,2         ,1         ,"",0.0016,<4>  ,0.1846,<4>  ,0.0050,<4>  ,0.0289,<4>  ,0.0339,<4>  ,0.6800,<4>  ,
"nocrcnut  ","P",01/12/2006 23:25,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1711,<4>  ,0.0002,<4>  ,0.0201,<4>  ,0.0203,<4>  ,1.1700,<4>  ,
"nocrcnut  ","P",01/13/2006 1:36,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.2113,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0202,<4>  ,0.9300,<4>  ,
"nocrcnut  ","P",01/13/2006 3:47,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1549,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0598,<4>  ,1.2900,<4>  ,
"nocrcnut  ","P",01/13/2006 5:58,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1480,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0016,<4>  ,2.1300,<4>  ,
"nocrcnut  ","P",01/13/2006 8:09,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1860,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,2.1300,<4>  ,
"nocrcnut  ","P",01/13/2006 10:20,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1554,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0145,<4>  ,1.2100,<4>  ,
"nocrcnut  ","P",01/13/2006 12:31,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1524,<4>  ,0.0004,<4>  ,0.0116,<4>  ,0.0120,<4>  ,0.5200,<4>  ,
"nocrcnut  ","P",02/14/2006 13:50,1,1,2         ,1         ,"",0.0046,<4>  ,0.1064,<4>  ,0.0008,<4>  ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/14/2006 16:01,1,1,2         ,1         ,"",0.0047,<4>  ,0.1191,<4>  ,0.0011,<4>  ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/14/2006 18:12,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1308,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.9500,<4>  ,
"nocrcnut  ","P",02/14/2006 20:23,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1435,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.8700,<4>  ,
"nocrcnut  ","P",02/14/2006 22:34,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1190,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/15/2006 0:45,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1122,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/15/2006 2:56,1,1,2         ,1         ,"",0.0039,<4>  ,0.1244,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/15/2006 5:07,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1055,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0064,<4>  ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/15/2006 7:18,1,1,2         ,1         ,"",0.0043,<4>  ,0.1397,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0043,<4>  ,0.9500,<4>  ,
"nocrcnut  ","P",02/15/2006 9:29,1,1,2         ,1         ,"",0.0036,<4>  ,0.2119,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,1.2400,<4>  ,
"nocrcnut  ","P",02/15/2006 11:40,1,1,2         ,1         ,"",0.0046,<4>  ,0.1360,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.8200,<4>  ,
"nocrcnut  ","P",02/15/2006 13:51,1,1,2         ,1         ,"",0.0015,<-4> [SBL] ,0.1118,<4>  ,0.0009,<4>  ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/15/2006 14:11,1,1,1         ,1         ,"",0.0052,<4>  ,0.1621,<4>  ,0.0002,<-4> [SBL] ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.5000,<-4> [SBL] ,
"nocrcnut  ","P",02/15/2006 14:12,1,1,1         ,2         ,"",0.0075,<4>  ,0.1171,<4>  ,0.0010,<4>  ,"",<-4> [SCB] ,0.0010,<-4> [SBL] ,0.7400,<4>  ,
"nocrcnut  ","P",03/15/2006 12:15,1,1,2         ,1         ,"",0.0015,<-4> [SBL] (CSM) ,0.1417,<0> (CSM) ,0.0002,<-4> [SBL] (CSM) ,"",<-4> [SCB] (CSM) ,0.0010,<-4> [SBL] (CSM) ,2.8500,<0> (CSM) ,
"nocrcnut  ","P",03/15/2006 14:26,1,1,2         ,1         ,"",0.0015,<-4> [SBL] (CSM) ,0.1463,<0> (CSM) ,0.0002,<-4> [SBL] (CSM) ,"",<-4> [SCB] (CSM) ,0.0010,<-4> [SBL] (CSM) ,2.9300,<0> (CSM) ,
