"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"noczbnut  ","P",01/12/2022 17:22,0,1,1         ,1         ,"",0.0432,<0>  ,0.1282,<0>  ,0.0057,<0>  ,0.1225,<0>  ,0.1282,<0>  ,1.9800,<0>  ,
"noczbnut  ","P",02/21/2022 12:47,0,1,1         ,1         ,"",0.0038,<0>  ,0.0072,<0>  ,0.0015,<0>  ,0.0057,<0>  ,0.0072,<0>  ,8.2600,<0>  ,
"noczbnut  ","P",03/22/2022 12:56,0,1,1         ,1         ,"",0.0178,<0>  ,0.0331,<0>  ,0.0044,<0>  ,0.0287,<0>  ,0.0331,<0>  ,14.7700,<0>  ,
"noczbnut  ","P",04/19/2022 11:55,0,1,1         ,1         ,"",0.0240,<0>  ,0.0393,<0>  ,0.0011,<0>  ,0.0382,<0>  ,0.0393,<0>  ,12.3100,<0>  ,
"noczbnut  ","P",06/22/2022 17:25,0,1,1         ,1         ,"",0.0263,<0>  ,0.0238,<0>  ,0.0000,<-4> [SBL] ,0.0238,<-4> [SCB] ,0.0238,<0>  ,59.5100,<0>  ,
"noczbnut  ","P",08/11/2022 12:38,0,1,1         ,1         ,"",0.0414,<0>  ,0.0416,<0>  ,0.0034,<0>  ,0.0382,<0>  ,0.0416,<0>  ,61.8400,<0>  ,
"noczbnut  ","P",09/15/2022 11:55,0,1,1         ,1         ,"",0.0170,<0>  ,0.0305,<0>  ,0.0343,<1> [SCC] ,-0.0038,<-3> [SNV] ,0.0305,<1> [SCC] ,22.9300,<0>  ,
"noczbnut  ","P",10/11/2022 12:18,0,1,1         ,1         ,"",0.0292,<0>  ,0.0741,<0>  ,0.0179,<0>  ,0.0562,<0>  ,0.0741,<0>  ,5.9300,<0>  ,
"noczbnut  ","P",10/11/2022 12:19,0,1,1         ,2         ,"",0.0282,<0>  ,0.0635,<0>  ,0.0175,<0>  ,0.0460,<0>  ,0.0635,<0>  ,3.3200,<0>  ,
"noczbnut  ","P",10/11/2022 12:20,0,1,1         ,3         ,"",0.0280,<0>  ,0.0639,<0>  ,0.0175,<0>  ,0.0464,<0>  ,0.0639,<0>  ,6.5500,<0>  ,
"noczbnut  ","P",11/15/2022 13:20,0,1,1         ,1         ,"",0.0284,<0>  ,0.1029,<0>  ,0.0064,<0>  ,0.0965,<0>  ,0.1029,<0>  ,5.3100,<0>  ,
"noczbnut  ","P",12/13/2022 14:00,0,1,1         ,1         ,"","",<-2> [GSM] ,"",<-2> [GSM] ,"",<-2> [GSM] ,"",<-2> [GSM] ,"",<-2> [GSM] ,2.8900,<0>  ,
